fits_name,file_path,label,feature_Hα,feature_Hβ,feature_CaIIK,feature_CaIIH
spec-55863-GAC_105N29_B1_sp10-179.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-179.fits.gz,K,0.0,4878.653791974776,3936.4070414309936,3970.0867811218423
spec-55863-M31_011N40_M1_sp02-159.fits,M31_011N40_M1/spec-55863-M31_011N40_M1_sp02-159.fits.gz,M,6562.9636672922,4862.952191867843,3933.688806732022,3968.2589095091184
spec-55863-GAC_105N29_B1_sp07-228.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp07-228.fits.gz,M,0.0,4838.380286511588,3931.8776931469724,3963.6929115081043
spec-55862-B6202_sp02-079.fits,B6202/spec-55862-B6202_sp02-079.fits.gz,K,0.0,0.0,0.0,0.0
spec-55863-M31_011N40_B1_sp01-220.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp01-220.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp11-023.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp11-023.fits.gz,F,6562.9636672922,4861.832584649837,3934.5946763407965,3968.2589095091184
spec-55862-B6202_sp02-106.fits,B6202/spec-55862-B6202_sp02-106.fits.gz,M,0.0,0.0,3924.641573534599,0.0
spec-55863-GAC_105N29_B1_sp02-040.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-040.fits.gz,G,0.0,4861.832584649837,3934.5946763407965,3966.431879468582
spec-55863-GAC_105N29_B1_sp16-226.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp16-226.fits.gz,F,6553.9028583347745,4855.120352422797,3934.5946763407965,3967.345289316547
spec-55863-M31_011N40_B1_sp01-114.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp01-114.fits.gz,K,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp10-093.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-093.fits.gz,N,6575.064234749979,4865.192179849536,3930.067413418534,3970.0867811218423
spec-55863-GAC_105N29_B1_sp01-069.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp01-069.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-M31_011N40_M1_sp02-120.fits,M31_011N40_M1/spec-55863-M31_011N40_M1_sp02-120.fits.gz,M,6572.037002870897,4861.832584649837,3932.7831456834174,3971.001032638907
spec-55862-B6212_sp02-077.fits,B6212/spec-55862-B6212_sp02-077.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp07-046.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp07-046.fits.gz,K,0.0,0.0,3930.067413418534,3960.0438961152527
spec-55863-GAC_105N29_B1_sp07-207.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp07-207.fits.gz,G,0.0,4861.832584649837,3935.5007545577764,3971.001032638907
spec-55863-M31_011N40_M1_sp01-079.fits,M31_011N40_M1/spec-55863-M31_011N40_M1_sp01-079.fits.gz,K,0.0,0.0,3932.7831456834174,3970.0867811218423
spec-55863-M31_011N40_M1_sp01-059.fits,M31_011N40_M1/spec-55863-M31_011N40_M1_sp01-059.fits.gz,N,0.0,4867.433199621377,3930.972449074674,3970.0867811218423
spec-55862-B6210_sp01-205.fits,B6210/spec-55862-B6210_sp01-205.fits.gz,K,0.0,0.0,3943.6648538097975,3970.0867811218423
spec-55862-B6210_sp01-144.fits,B6210/spec-55862-B6210_sp01-144.fits.gz,F,0.0,4861.832584649837,3929.1625861305615,3968.2589095091184
spec-55863-GAC_105N29_B1_sp09-059.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp09-059.fits.gz,G,0.0,0.0,3934.5946763407965,0.0
spec-55863-GAC_105N29_B1_sp16-248.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp16-248.fits.gz,G,0.0,0.0,3930.972449074674,3963.6929115081043
spec-55863-GAC_105N29_B1_sp02-017.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-017.fits.gz,G,0.0,4860.713235201249,3933.688806732022,3969.1727400947307
spec-55863-GAC_105N29_B1_sp10-090.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-090.fits.gz,K,6562.9636672922,0.0,3933.688806732022,3967.345289316547
spec-55862-B6210_sp01-168.fits,B6210/spec-55862-B6210_sp01-168.fits.gz,M,0.0,0.0,3926.449353995997,3960.955834906334
spec-55863-GAC_105N29_B1_sp14-097.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp14-097.fits.gz,K,0.0,0.0,0.0,0.0
spec-55862-B6212_sp02-061.fits,B6212/spec-55862-B6212_sp02-061.fits.gz,K,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp01-250.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp01-250.fits.gz,K,6567.49876817207,4868.554096577117,3931.8776931469724,3967.345289316547
spec-55863-GAC_105N29_B1_sp14-038.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp14-038.fits.gz,G,0.0,0.0,3935.5007545577764,0.0
spec-55863-GAC_105N29_B1_sp11-174.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp11-174.fits.gz,G,0.0,4860.713235201249,3935.5007545577764,3969.1727400947307
spec-55863-GAC_105N29_B1_sp02-210.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-210.fits.gz,N,0.0,4848.4173870844625,3931.8776931469724,3968.2589095091184
spec-55863-GAC_105N29_B1_sp06-086.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp06-086.fits.gz,F,0.0,0.0,3933.688806732022,0.0
spec-55863-GAC_105N29_B1_sp02-172.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-172.fits.gz,G,0.0,4864.072056914614,3932.7831456834174,3968.2589095091184
spec-55863-GAC_105N29_B1_sp02-195.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-195.fits.gz,G,0.0,0.0,3933.688806732022,3970.0867811218423
spec-55863-GAC_105N29_B1_sp10-161.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-161.fits.gz,K,0.0,0.0,3930.972449074674,3969.1727400947307
spec-55863-GAC_105N29_B1_sp03-032.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-032.fits.gz,A,0.0,4861.832584649837,3934.5946763407965,3969.1727400947307
spec-55863-GAC_105N29_B1_sp10-148.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-148.fits.gz,M,0.0,0.0,3919.2232245497667,3967.345289316547
spec-55862-B6202_sp01-187.fits,B6202/spec-55862-B6202_sp01-187.fits.gz,K,0.0,0.0,3930.067413418534,3981.988486715585
spec-55863-GAC_105N29_B1_sp03-162.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-162.fits.gz,F,0.0,0.0,3934.5946763407965,0.0
spec-55863-GAC_105N29_B1_sp14-248.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp14-248.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp03-179.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-179.fits.gz,F,0.0,4862.952191867843,3935.5007545577764,3971.001032638907
spec-55863-GAC_105N29_B1_sp02-008.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp02-008.fits.gz,G,0.0,4861.832584649837,3933.688806732022,3969.1727400947307
spec-55863-GAC_105N29_B1_sp08-099.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp08-099.fits.gz,G,6562.9636672922,4862.952191867843,3930.067413418534,3962.7803425543934
spec-55863-GAC_105N29_B1_sp12-027.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp12-027.fits.gz,G,0.0,0.0,3933.688806732022,3969.1727400947307
spec-55862-B6210_sp01-012.fits,B6210/spec-55862-B6210_sp01-012.fits.gz,K,0.0,0.0,3933.688806732022,3966.431879468582
spec-55863-M31_011N40_B1_sp02-109.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp02-109.fits.gz,F,0.0,0.0,3938.2202413383675,3965.518679916798
spec-55863-GAC_105N29_B1_sp12-103.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp12-103.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp01-236.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp01-236.fits.gz,A,6562.9636672922,4865.192179849536,3936.4070414309936,3972.830167336813
spec-55863-GAC_105N29_B1_sp12-119.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp12-119.fits.gz,A,0.0,4861.832584649837,3935.5007545577764,3971.915494694405
spec-55863-GAC_105N29_B1_sp06-011.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp06-011.fits.gz,K,0.0,4855.120352422797,3933.688806732022,3968.2589095091184
spec-55862-B6210_sp02-188.fits,B6210/spec-55862-B6210_sp02-188.fits.gz,G,0.0,0.0,3933.688806732022,3967.345289316547
spec-55862-B6202_sp01-029.fits,B6202/spec-55862-B6202_sp01-029.fits.gz,G,0.0,0.0,3933.688806732022,3970.0867811218423
spec-55862-B6202_sp02-131.fits,B6202/spec-55862-B6202_sp02-131.fits.gz,F,0.0,0.0,3933.688806732022,3969.1727400947307
spec-55863-M31_011N40_B1_sp02-054.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp02-054.fits.gz,K,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp10-166.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp10-166.fits.gz,F,0.0,4862.952191867843,3934.5946763407965,3971.915494694405
spec-55863-GAC_105N29_B1_sp11-148.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp11-148.fits.gz,G,0.0,0.0,3934.5946763407965,3969.1727400947307
spec-55863-GAC_105N29_B1_sp08-250.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp08-250.fits.gz,G,0.0,0.0,3935.5007545577764,3970.0867811218423
spec-55863-GAC_105N29_B1_sp01-175.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp01-175.fits.gz,G,6565.9867197835665,4865.192179849536,3930.972449074674,3970.0867811218423
spec-55862-B6210_sp02-030.fits,B6210/spec-55862-B6210_sp02-030.fits.gz,F,0.0,0.0,3935.5007545577764,3971.001032638907
spec-55863-GAC_105N29_B1_sp08-120.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp08-120.fits.gz,G,0.0,0.0,3930.972449074674,3968.2589095091184
spec-55863-GAC_105N29_B1_sp05-044.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp05-044.fits.gz,F,6559.942006647443,4862.952191867843,3932.7831456834174,3968.2589095091184
spec-55863-M31_011N40_B1_sp02-103.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp02-103.fits.gz,G,0.0,0.0,3932.7831456834174,3967.345289316547
spec-55863-GAC_105N29_B1_sp03-099.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-099.fits.gz,A,6562.9636672922,4862.952191867843,3934.5946763407965,3971.001032638907
spec-55863-GAC_105N29_B1_sp01-204.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp01-204.fits.gz,G,0.0,0.0,3934.5946763407965,3969.1727400947307
spec-55863-GAC_105N29_B1_sp13-025.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp13-025.fits.gz,M,0.0,0.0,3932.7831456834174,3966.431879468582
spec-55863-GAC_105N29_B1_sp14-135.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp14-135.fits.gz,G,0.0,0.0,0.0,0.0
spec-55863-M31_011N40_M1_sp01-004.fits,M31_011N40_M1/spec-55863-M31_011N40_M1_sp01-004.fits.gz,K,0.0,4864.072056914614,3934.5946763407965,3970.0867811218423
spec-55863-GAC_105N29_B1_sp03-189.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-189.fits.gz,M,0.0,0.0,0.0,0.0
spec-55863-GAC_105N29_B1_sp11-126.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp11-126.fits.gz,F,0.0,4864.072056914614,3930.972449074674,3968.2589095091184
spec-55863-GAC_105N29_B1_sp03-141.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp03-141.fits.gz,G,0.0,0.0,0.0,3971.001032638907
spec-55863-M31_011N40_B1_sp01-166.fits,M31_011N40_B1/spec-55863-M31_011N40_B1_sp01-166.fits.gz,K,0.0,4862.952191867843,3933.688806732022,3964.605690612772
spec-55863-GAC_105N29_B1_sp06-188.fits,GAC_105N29_B1/spec-55863-GAC_105N29_B1_sp06-188.fits.gz,K,0.0,0.0,3930.972449074674,3971.001032638907
spec-55862-B6210_sp01-008.fits,B6210/spec-55862-B6210_sp01-008.fits.gz,F,6561.452663029057,4862.952191867843,3934.5946763407965,3969.1727400947307
