idx,feature
1,feature_Al_3944_eq_width
2,feature_Ba_4554_eq_width
3,feature_Ba_6497_eq_width
4,feature_CNO_index
5,feature_CaIIH_eq_width
6,feature_CaIIH_fwhm
7,feature_CaIIH_prominence
8,feature_CaIIK_asymmetry
9,feature_CaIIK_base_width
10,feature_CaIIK_core_width
11,feature_CaIIK_depth
12,feature_CaIIK_eq_width
13,feature_CaIIK_fwhm
14,feature_CaIIK_kurtosis
15,feature_CaIIK_prominence
16,feature_CaIIK_skewness
17,feature_CaIIK_wing_blue
18,feature_CaIIK_wing_ratio
19,feature_CaIIK_wing_red
20,feature_CaII_H_eq_width
21,feature_CaII_K_eq_width
22,feature_Ca_8498_eq_width
23,feature_Ca_8542_eq_width
24,feature_Ca_8662_eq_width
25,feature_Ca_triplet_strength
26,feature_Co_5301_eq_width
27,feature_Cr_5206_eq_width
28,feature_Cr_5208_eq_width
29,feature_FeH_proxy
30,feature_Fe_4383_eq_width
31,feature_Fe_4531_eq_width
32,feature_Fe_5270_eq_width
33,feature_Fe_5335_eq_width
34,feature_Fe_5406_eq_width
35,feature_Fe_5709_eq_width
36,feature_H10_eq_width
37,feature_H10_fwhm
38,feature_H8_eq_width
39,feature_H8_fwhm
40,feature_H9_eq_width
41,feature_H9_fwhm
42,feature_Halpha_asymmetry
43,feature_Halpha_base_width
44,feature_Halpha_core_width
45,feature_Halpha_depth
46,feature_Halpha_emission_index
47,feature_Halpha_kurtosis
48,feature_Halpha_skewness
49,feature_Halpha_wing_blue
50,feature_Halpha_wing_ratio
51,feature_Halpha_wing_red
52,feature_Hdelta_eq_width
53,feature_Hdelta_fwhm
54,feature_Hepsilon_eq_width
55,feature_Hepsilon_fwhm
56,feature_Hgamma_eq_width
57,feature_Hgamma_fwhm
58,feature_Hα_eq_width
59,feature_Hα_fwhm
60,feature_Hα_prominence
61,feature_Hβ_eq_width
62,feature_Hβ_fwhm
63,feature_Hβ_prominence
64,feature_Mg_5167_eq_width
65,feature_Mg_5173_eq_width
66,feature_Mg_5184_eq_width
67,feature_Mg_b_eq_width
68,feature_Mg_b_fwhm
69,feature_Mg_b_prominence
70,feature_Mg_triplet_strength
71,feature_Na_D1_eq_width
72,feature_Na_D2_eq_width
73,feature_Na_D_eq_width
74,feature_Na_D_fwhm
75,feature_Na_D_prominence
76,feature_Ni_5081_eq_width
77,feature_Si_4128_eq_width
78,feature_Si_4131_eq_width
79,feature_Sr_4077_eq_width
80,feature_Teff_proxy
81,feature_Ti_4758_eq_width
82,feature_Ti_4764_eq_width
83,feature_UV_excess_3900
84,feature_V_4379_eq_width
85,feature_X_parameter
86,feature_activity_index
87,feature_alpha_Fe_proxy
88,feature_alpha_elements_index
89,feature_avg_line_depth
90,feature_avg_line_kurtosis
91,feature_balmer_gradient
92,feature_balmer_ratio_delta_gamma
93,feature_balmer_ratio_gamma_beta
94,feature_balmer_temperature_index
95,feature_break_4000A_strength
96,feature_break_4000A_width
97,feature_continuum_asymmetry
98,feature_continuum_peak_wavelength
99,feature_continuum_rms
100,feature_continuum_slope_global
101,feature_curvature_4000
102,feature_curvature_5000
103,feature_curvature_6000
104,feature_flux_ratio_blue_red
105,feature_index_CN_1
106,feature_index_CN_2
107,feature_index_Ca4227
108,feature_index_CaH2
109,feature_index_CaH3
110,feature_index_CaII_triplet
111,feature_index_Dn4000
112,feature_index_Dn4000_SDSS
113,feature_index_G4300
114,feature_index_Hbeta_index
115,feature_index_Mg_1
116,feature_index_Mg_2
117,feature_index_Mgb_index
118,feature_index_NaD_Lick
119,feature_index_Paschen_12
120,feature_index_TiO5
121,feature_index_TiO_1_Lick
122,feature_index_TiO_2_Lick
123,feature_iron_peak_index
124,feature_logg_proxy
125,feature_metal_index_combined
126,feature_metal_poor_index
127,feature_molecular_CH_4300
128,feature_molecular_CN_4142
129,feature_molecular_CaH_6380
130,feature_molecular_CaH_6830
131,feature_molecular_CaH_6975
132,feature_molecular_MgH_5140
133,feature_molecular_TiO_6180
134,feature_molecular_TiO_7050
135,feature_molecular_TiO_7600
136,feature_molecular_TiO_8200
137,feature_molecular_TiO_8400
138,feature_molecular_TiO_8860
139,feature_molecular_VO_7400
140,feature_molecular_VO_7900
141,feature_paschen_jump_strength
142,feature_profile_shape_index
143,feature_ratio_Ba_Fe
144,feature_ratio_Ca_Fe
145,feature_ratio_Fe_Mg
146,feature_ratio_Sr_Fe
147,feature_ratio_prom_CaK_Hbeta
148,feature_ratio_prom_Halpha_Hbeta
149,feature_ratio_prom_Mgb_Hbeta
150,feature_rotation_index
151,feature_rotation_proxy
152,feature_s_process_enhanced
153,feature_s_process_index
154,feature_slope_blue
155,feature_slope_deep_red
156,feature_slope_green
157,feature_slope_red
158,feature_synthetic_BV
159,feature_cont_slope
160,feature_cont_curvature
161,match_Hα_wl
162,match_Hα_prom
163,match_Hβ_wl
164,match_Hβ_prom
165,match_CaIIK_wl
166,match_CaIIK_prom
167,match_CaIIH_wl
168,match_CaIIH_prom
169,match_Mg_b_wl
170,match_Mg_b_prom
171,match_Na_D_wl
172,match_Na_D_prom
173,feature_Hα_present
174,feature_Hβ_present
175,feature_Mg_b_present
176,feature_Na_D_present
177,ratio_EW_Ha_Hb
178,EW_CaHK_sum
179,ratio_EW_CaK_CaH
180,ratio_EW_MgB_NaD
181,contrast_metals_vs_balmer
182,feature_color_gr
183,feature_color_ri
